Provider,Prize,Message
Bank of America,$50 gift card,"You just won a $50 gift card thanks to Bank of America! Jump-start your savings or treat yourself to something special, perfect for reaching your financial goals!"
CDW Healthcare,Fitness Tracker,"Tech upgrade alert! Win a sleek fitness tracker from CDW Healthcare to help you monitor your steps, workouts, and health goals with style!"
Sodexo Health Care Services,One week Meal Prep,"You just won a week of  Sodexo’s delicious, healthy meals delivered straight to your door!"
Torrey Pines Bank,$50 gift card,"You just won a $50 gift card thanks to Torrey Pines Bank! Jump-start your savings or treat yourself to something special, perfect for reaching your financial goals!"
Vitalwatch,10 points,You won 10 bonus points! You just got closer to reaching your next Vitalwatch goal!
Vitalwatch,30 points,You won 30 bonus points! You just got closer to reaching your next Vitalwatch goal!
Vitalwatch,50 points,You won 50 bonus points! You just got closer to reaching your next Vitalwatch goal!
Studio SWEAT, 50% Studio SWEAT onDemand,You won 50% off Studio SWEAT onDemand rates! Kickstart your at-home fitness journey today!
Active&Fit Direct,$28 gym membership,"You won awesome rates to Active&Fit Direct gym! Find your perfect gym from 12,700+ participating gyms nationwide for just $28 a month"
MOCK,Free fitness class,You just won a free pass to local fitness classes! Jump into a workout session of your choice and take your fitness game to the next level!
MOCK,Gift card to wellness a store,"You just won a gift card to your favorite fitness and wellness store! Treat yourself to gear, supplements, or anything that fuels your journey to a healthier you!"
MOCK,$50 gift card,
